task_name,processing_time,samples_drawn,input_tokens,output_tokens,temperature
6cf79266,19.97,10,7671,9745,0.9
a65b410d,13.24,10,1575,13980,0.1
a65b410d,12.17,10,1575,12777,0.3
a65b410d,17.83,10,1575,16851,0.5
a65b410d,13.01,10,1575,14481,0.7
a65b410d,12.8,10,1575,13969,0.9
5117e062,13.1,10,2073,10989,0.1
5117e062,16.52,10,2073,16638,0.3
5117e062,17.99,10,2073,21218,0.5
5117e062,18.37,10,2073,15621,0.7
5117e062,16.8,10,2073,13385,0.9
ba26e723,13.42,10,1561,12116,0.1
ba26e723,12.18,10,1561,14252,0.3
ba26e723,21.51,10,1561,16698,0.5
ba26e723,18.4,10,1561,18186,0.7
ba26e723,18.05,10,1561,19141,0.9
25d8a9c8,7.26,10,701,8519,0.1
25d8a9c8,9.0,10,701,9096,0.3
25d8a9c8,9.86,10,701,9899,0.5
25d8a9c8,9.11,10,701,10399,0.7
25d8a9c8,8.28,10,701,9890,0.9
50cb2852,18.27,10,3369,23573,0.1
50cb2852,18.12,10,3369,16914,0.3
50cb2852,18.33,10,3369,17601,0.5
50cb2852,19.05,10,3369,22454,0.7
50cb2852,18.84,10,3369,21864,0.9
952a094c,17.93,10,2271,17873,0.1
952a094c,17.0,10,2271,12723,0.3
952a094c,19.46,10,2271,19476,0.5
952a094c,16.99,10,2271,15012,0.7
952a094c,18.03,10,2271,16474,0.9
c3e719e8,14.07,10,1281,11958,0.1
c3e719e8,10.66,10,1281,10736,0.3
c3e719e8,15.24,10,1281,14092,0.5
c3e719e8,16.5,10,1281,19905,0.7
c3e719e8,17.73,10,1281,14855,0.9
623ea044,17.9,10,3465,13273,0.1
623ea044,18.04,10,3465,13001,0.3
623ea044,17.91,10,3465,13798,0.5
623ea044,18.94,10,3465,16348,0.7
623ea044,18.23,10,3465,12188,0.9
a5f85a15,8.87,10,1125,8044,0.1
a5f85a15,13.62,10,1125,11079,0.3
a5f85a15,12.69,10,1125,13132,0.5
a5f85a15,13.83,10,1125,16066,0.7
a5f85a15,11.88,10,1125,13596,0.9
5c0a986e,16.78,10,2271,14868,0.1
5c0a986e,18.74,10,2271,24044,0.3
5c0a986e,24.47,10,2271,20456,0.5
5c0a986e,16.17,10,2271,14451,0.7
5c0a986e,18.85,10,2271,20660,0.9
007bbfb7,14.38,10,1849,15671,0.1
007bbfb7,17.72,10,1849,16728,0.3
007bbfb7,18.44,10,1849,20918,0.5
007bbfb7,18.63,10,1849,21044,0.7
007bbfb7,18.32,10,1849,19101,0.9
017c7c7b,12.36,10,876,11685,0.1
017c7c7b,10.34,10,876,11642,0.3
017c7c7b,10.55,10,876,13149,0.5
